Licenses for third-party software included in this release.

Category,License,Dependency,Notes
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty # jetty-http # 9.4.20.v20190813,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty # jetty-io # 9.4.20.v20190813,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty # jetty-security # 9.4.20.v20190813,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty # jetty-server # 9.4.20.v20190813,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty # jetty-servlet # 9.4.20.v20190813,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty # jetty-servlets # 9.4.20.v20190813,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty # jetty-util # 9.4.20.v20190813,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty # jetty-webapp # 9.4.20.v20190813,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty # jetty-xml # 9.4.20.v20190813,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty.http2 # http2-common # 9.4.20.v20190813,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty.http2 # http2-hpack # 9.4.20.v20190813,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty.http2 # http2-server # 9.4.20.v20190813,
Apache,Apache-2.0 (http://www.apache.org/licenses/),com.comcast # ip4s-core_2.13 # 3.0.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.propensive # magnolia_2.13 # 0.17.0,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.propensive # mercator_2.13 # 0.2.1,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),org.http4s # blaze-core_2.13 # 0.15.2,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),org.http4s # blaze-http_2.13 # 0.15.2,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),org.http4s # http4s-blaze-client_2.13 # 1.0.0-M27,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),org.http4s # http4s-blaze-core_2.13 # 1.0.0-M27,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),org.http4s # http4s-blaze-server_2.13 # 1.0.0-M27,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),org.http4s # http4s-circe_2.13 # 1.0.0-M27,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),org.http4s # http4s-client_2.13 # 1.0.0-M27,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),org.http4s # http4s-core_2.13 # 1.0.0-M27,
